name(이름),description(설명),start_date(시작일),end_date(종료일),region(지역),detail_region(상세지역),latitude(위도),longitude(경도),fee(참가요금),organizer(주최기관),contact_phone(연락처),website_url(공식홈페이지),visitor_count(방문객수),Tag
MAMF Cultural Diversity Festival,"MAMF is Korea's representative cultural diversity festival that began in 2005. Marking its 20th anniversary this year, a total of 15 teams from 21 countries, including Nepal, Mongolia, and Myanmar, will participate to showcase their diverse cultures. It is a festival where Koreans and foreigners can enjoy together, and there are various programs such as performances, experiences, and exhibitions. In particular, the ""Cultural Diversity Parade,"" the highlight of MAMF, is loved by many people for its unique attractions that combine traditional costumes, music, and dances from all over the world. This year, Mongolia is the guest of honor, and a special stage under the concept of the ""Nadam Festival,"" Mongolia's representative festival, is also prepared. It is a special festival where you can experience cultures from all over the world in one place.
[Contents of the event]
1. Main program: Opening ceremony & opening celebration performance, cultural diversity parade, My Grants Arirang, Korea Migrant Song Festival, World Music Concert, guest country special cultural performance
2. Supplementary programs: World Travel from the City, Earth Village Bazar & Flea Market, Global Street Food, Fringe & Busking Festival
3. Consumer Join Program: World Travel from the City (Experience Booth)",2025.10.24,2025.10.26,Gyeongnam,Yongji Culture Park and Jungang-daero Area,35.230122,128.687057,free,Changwon City Hall,055-225-7504,https://www.mamf.co.kr/,500,"Food,Culture,Music/Show,Heritage,Join"
24th Jinju Nongae Festival,"The 7th Jinju Nongae Festival is a representative spring festival held on the fourth Friday, Saturday, and Sunday of May every year in Jinju Castle and Namgang, Jinju-si, Gyeongsangnam-do. It is a traditional art experience-oriented festival centered on the spirit of loyalty of Nongae who jumped into the Namgang River during the Imjin War and the traditional culture of Jinju such as Gyobang art, mask dance, and Ogwangdae.

[Contents of the event]
1. a representative program
1) Uiambyulje ??Reenactment of the ritual of memorial service and the dedication of the nongeogae, organized by the female priest  
2) Traditional performances such as Jinju Ogwangdae, Mask Dance, and Gyobang Gutgeori Dance  
3) Performances of intangible cultural properties such as Jieju Geommu, Singwan Yongryu Gayageum Sanjo, Jinju Hanryangmu, etc

2. a hands-on program
1) The experience of clothes and photographs of government officials and nogae during the Joseon Dynasty  
2) Rickshaw Experience and Traditional Folklore  
3) Docent Tour (Commentator Pearl Harbor Tour)

3. a cultural performance program
1) Nongae Concert and Silgyeong History Musical Performance  
2) Local residents and young people participating in performances and busking  
3) Gyobang cultural events such as 'Gyobang Culture Festival' and Chokseokru Cha Damhoe",2025.05.03,2025.05.06,Gyeongnam,Jinju Castle Area,35.190827,128.084002,free,Jinju City Hall,055-749-8589,https://nongaefestival.kr/,620,"Food,Culture,Spring,Adult,Music/Show,Nature,All Ages,Heritage,Specialty,Join"
64th Tongyeong Hansan Battle Festival,"To commemorate the Battle of Tongyeong Hansan, which is said to be one of the world's four major naval battles, and Admiral Yi Sun-shin, the hero of the rescue country, we will introduce various programs such as traditional cultural contents and exhibitions, performances, and experiences of Tongyeong around the 7th day of the lunar calendar (August 14 of the solar calendar) to make a leap into a global festival that is enjoyed by men and women of, and represents Korea as well as a national, historical reproduction, and character festival.
[Contents of the event]
1. Main program: National Turtle Ship Rowing Competition, Go-je Bonghaeng, Samdo-su-gun control officer's march and military store reproduction, opening ceremony and special performance of the 64th Tongyeong Hansan Battle Festival, 2025 Tonight Tongyeong Fireworks Show, Tongyeong Youth Dance Battle, Navy Army Band Sugun Concert, Victory High School, Hansan Island's first academic presentation, wriggling youth musical ""The Wings of Learning"" Hansan Sea Battle Opening Ceremony, Hansan Sea Battle Reproduction, Hansan Sea Battle Victory Celebration Parade
2. Additional programs: Gwacheon City Exchange Performance, tonight's EDM Party
3. Consumer Join Program: Yi Sun-shin's Water Land Waterland, Tongyeong Siu and Mun Market
4. Other contents: MADE IN Tongyeong 12th Workshop, Joseon Navy training experience, three major anti-war city characters, etc., Tongyeong Traditional Yeon Night Lighting Exhibition, Hansan Battle Jujeburi Zone, Visiting Tongyeong Hansan Battle Festival",2025.08.09,2025.08.14,Gyeongnam,Hansan Battle Plaza and Tongyeong City Area,34.843842,128.424074,free,Tongyeong City,055-650-0522,http://www.hansanf.org/,1692,"Food,Culture,Summer,Music/Show,Nature,All Ages,Heritage,Youth,Join"
27th Waryong Cultural Festival,"The Sacheon Waryong Cultural Festival, which was created in 1995 by integrating the Sacheon-gun Suyang Cultural Festival and the Hallyeo Cultural Festival in Samcheonpo-si to harmonize citizens and develop traditional culture and arts, is a representative festival of Sacheon-si, where visitors can enjoy various exhibitions, performances, experiences and food with local cultural artists under the theme of Sacheon's history and future.
[Contents of the event]
1. Performances: 5.1. (Thursday) Kim Soo-chan, Casey, Kim Sung-beom / 5.2. (Friday) Baek Ji-young, Hong Jin-young, Norazo / 5.3. Waryong Superstar Competition / 5.4. Park Seo-jin, Brand New Girl, Enable
2. Exhibition: Light Street (Luminarie)/Space (Future) Zone: Exhibition to express the future city and universe of Sacheon/Sacheon Time Travel Zone: Experience Exhibition to express the old Sacheon and Samcheonpo cultures
3. Experience: Mugunghwa flowers bloomed: A group game for civic harmony under the concept of squid game, and the winner will receive a prize worth 500,000 won (2 times)
4. Traditions: Gasan Ogwangdae, Madogalbanga-sori, Pansori performances, kite flying competitions, etc
5. Competition: Student Art Competition, Music Competition, Essay Contest, National Sijo Contest
6. Supplementary programs: various crafts, face painting, VR experience, promotion and sales booths
7. Food: Korean beef, local food, food trucks, etc",2025.05.01,2025.05.04,Gyeongnam,Sacheon City Hall Plaza Area,35.00363,128.063787,free,Sacheon City Hall,055-831-2711,https://www.sccf.or.kr/bbs/board.php?bo_table=waryong&wr_id=9,890,"Food,Culture,Music/Show,Nature,Heritage,Specialty,Join"
2025 Gaya Cultural Festival,"The Gaya Cultural Festival is a historical and cultural festival in Gimhae City that boasts history and tradition based on Geumgwan Gaya, the leader of six Gaya, and has established itself as a high-quality festival at home and abroad. King Kim Su-ro founded Gaya in 42 A.D. and married Heo Hwang-ok, a princess of Ayutthaguk India, in 48, the first international marriage in the history of the Korean Peninsula. Gaya has been a center of international exchange in Northeast Asia by trading with neighboring countries such as China, Nakrang and Japan due to the development of earthenware and ironware culture from early on. Gimhae, which has a long history and original ironware culture, preserves and inherits Gaya culture as a world-class cultural heritage through the Gaya Cultural Festival, proving that the fourth imperial Gaya existed along with Goguryeo, Baekje, and Silla. The Gaya Cultural Festival, which marks its 63rd anniversary this year, is ready to welcome visitors with a variety of programs that allow them to directly feel Gaya historical culture under the slogan of ""Ithousand-Year Old Gaya, Glocal City Gimhae."" In particular, the ""2025 Gaya Cultural Festival"" will be a meaningful place to feel the splendid Gaya culture, which was planned with a focus on the development of programs that creatively reproduce Gaya culture and experience programs in which visitors can participate.
[Contents of the event]
1. Main programs: Gaya Fantasia, Rhythm of Gaya, Waterway Parade, Media Facade, etc
2. Additional programs: Gimhae Ogwangdae, Seokjeon Nori, Jangyu Picture Memorial Festival, Gimhae Folk Nongak, Superstar G, etc
3. Consumer Join Program: Gimhae Food Fair, Gaya Treasure Search, Gaya Village, Somang Yudeung and Shell Art, Gaya Family Lounge, Ancient Tombs Kite Flying, etc
4. Other contents: National Student Music Competition, National Student Art Competition, Children's Fairy Tale Production Competition, 43rd National Jeongga Competition, National Baekiljang, Gaya Martial Arts Competition, etc",2025.04.11,2025.04.13,Gyeongnam,Sureungwon Garden Area,35.23533,128.87578,free,Gimhae City,055-330-3945,https://www.gcfkorea.com/,1000,"Family,Food,Culture,Children,Music/Show,Nature,All Ages,Heritage,Specialty,Join"
67th Miryang Arirang Festival,"The Miryang Arirang Festival is a festival that started with the Yeungnamru Grand Repair Project and now aims to discover the modern value of Miryang Arirang. Through the development of Miryang Arirang-specific contents, 38 programs will be conducted, including Arirang Theme Hall, Miryang River Odyssey, various programs that combine Miryang's story and play, youth self-planned programs, and contents for the elderly. In addition, the Miryang Arirang Festival is a representative civic Join and leading festival in Korea, where 7% (7,600 people) of Miryang City's population participate every year.
[Contents of the event]
1. Representative program
- 2025 Miryang River Odyssey: Silgyeong Multimedia Performance held against the backdrop of Yeungnamru and Miryang River, Miryang's best scenery
- Arirang Theme Hall: An exhibition experience space that introduces the history of Arirang and the festival and Miryang Arirang spread all over the world

2. a thematic program
- Sunshine Miryang: Miryang Artist-centered Performance Program
- Arirang's melody, trio: Three major local governments (Milyang, Jeongseon, and Jindo) collaborative performances to promote Arirang in Korea
- Youth Arario Festival: A Festival in a Festival Made by Young People in Miryang
- Arirang Miro: Miryang Arirang and Miryang's Tourism and History in the Miro
- Arirang Wonderland: Intangible Heritage of Miryang and Experience of Five Senses, etc
- Miryang Arirang Creation Contest: A contest to suggest the direction of development of Miryang Arirang by being recreated from a modern perspective
- Miryang Arirang Competition: A competition to discover Miryang Arirang's contestants and graduates
- Miryang Arirang Origins: Embers ignite and official event to mark the beginning of the grand festival
- Street Parade to Celebrate History: Street Parade involving the three major people of the festival and the citizens of Miryang's former Eup, Myeon, Dong

3. Regional Cultural Tourism Resource Cooperation Program
- Miryang Miryang Ground: New experiences and play spaces to understand Miryang, such as pop-up stores and various play spaces within the jurisdiction
- Intangible Heritage Performance: Type, Intangible Heritage Invitation Performance
- Public presentation of Nongak Orchestra: performance of traditional Nongak orchestra in our region wishing for prosperity and prosperity
- Arirang Story Tour: A tour program that learns Miryang stories by experiencing them with storytellers

4. a supplementary program
- ?갢O! (No-no) Happiness: Experience and exchange programs for the elderly only
- Water Experience Zone: Miryang River Water Experience Program

5. Miryang Cultural Festival (simultaneous events)
- National Student Art Competition / National Hangeul 100 Iljang / National Miryang Arirang Theater Festival / National Student Music Competition / National Hwiho Competition / National Korean Literature 100 Iljang / National Kite Flying Contest

[Charges]
- Arirang Miro: W2,000
- Arirang Wonderland: KRW 3,000 to KRW 5,000
- Arirang Story Tour: 3,000 won
- Arirang Food Zone: Price Difference",2025.05.22,2025.05.25,Gyeongnam,Yeongnam Pavilion and Miryang Riverside Area,35.489925,128.756919,free,Miryang City Hall,055-359-5787,https://www.arirang.or.kr/,2270,"Food,Culture,Senior,Music/Show,Nature,All Ages,Heritage,Specialty,Youth,Join"
63rd Geoje Okpo Battle Festival,"The Geoje Okpo Battle Festival is a national culture and arts festival held in mid-June every year to commemorate the Battle of Okpo, which was the victory of the Imjin War in 1592. Various cultural and artistic events such as ceremonies, ceremonies, musical Okpo Battle & Marine Fireworks Battle, the parade for the victory, Black Eagles performances, and closing fireworks events are held, and it has established itself as a representative cultural festival in the region by providing various auxiliary events and attractions such as magic and soap bubble shows.
[Contents of the event]
1. Main programs: opening performance, parade of guise for victory, musical Okpo naval battle & maritime firework battle, Black Eagles air show, water bomb, drone light show, closing firework show
2. Supplementary programs: EDM Festival, Jet Ski Show, Fringe Performance (Magic Show, Bubble Show) National Choir <War and Peace>
3. Join programs: Dancing Okpo, K-pop Random Play Dance, Okpo Battle Golden Bell, Exploration Road for the Battle of Okpo with commentary, Yi Sun-shin Victory Experience Street, and Yi Sun-shin Find Yi Sun-shin
4. Other information: The Geoje History Hall with explanations, academic seminars on Okpo naval warfare and Geoje history, choir seminars of the National Choir, and commentary",2025.06.13,2025.06.15,Gyeongnam,Okpo Battle Memorial Park and Waterfront Park Area,34.89022,128.696408,free,Geoje City Hall,055-639-3393,https://www.geojeart.or.kr/festival/festival_1.asp,700,"Winter,Food,Culture,Summer,Music/Show,Nature,Heritage,Specialty,Join"
2025 Geoje Summer Ocean Festival,"The Geoje Summer Marine Festival is a representative summer festival held from July 26 (Sat) to 27 (Sun) in Geoje, Gyeongsangnam-do, and is a cool sea festival that combines marine sports, experience programs and night concerts.

[Contents of the event]
1. a representative program
1) Marine sports competitions (flyboard, pin swimming, etc.)
2) Marine Experience Booth (Water Leisure Experience)
3) Waterfront Park Night Blue Summer Concert

2. a hands-on program
1) Food Market & Food Truck
2) Ocean Culture Experience Zone
3) a beachside photo zone

3. a cultural performance program
1) Idols and busking performances
2) a local artist's stage
3) Fireworks (estimated)

??Schedule and location are subject to change: contentReference[oaicite:0]{index=0}",2025.07.25,2025.07.27,Gyeongnam,Jisepo Area,34.832893,128.702533,free,Geoje City Hall,055-639-4064,https://www.geoje.go.kr/user/smarttour/view.geoje?basicSid=150&festivalStyle=A01&menuCd=DOM_000008504008000000&cpath=,603,"Family,Food,Culture,Children,Summer,Music/Show,Nature,All Ages,Specialty,Join"
19th Geoje Island Flower Festival,"The Geoje Island Flower Festival, which began in 2006 with the Geoje Autumn Flower Hanmadang Festival and marks its 18th anniversary this year, has been developed as a unique festival model based on the Nanji Agricultural Test Site of the Geoje Agricultural Development Institute. It is a comprehensive Autumn flower festival that combines flowers and culture, and is composed of various themes such as a feast of Autumn flowers, a tour of Korean agriculture, cultural performances with citizens, and various competitions and experience events.
[Contents of the event]
1. Autumn Flower Festival: Autumn Flower Exhibition
2. Nongshim Theme Park: It consists of a topiary garden that goes up to Geoje and an agricultural theme zone that is a storytelling of agricultural culture
3. Geoje Botanic Park: Geoje Jungle Dome, Jungle Tower, Plant Culture Center
4. Promoting agricultural technology: High-tech agricultural technology exhibition such as regional specialty crops and plant factories, microorganism culture rooms, and tissue culture rooms
5. Cultural performances: Music performances that go well with Autumn flowers, talent donation performances with pleasure, youth Join performances, etc
6. Geoje Sato Re-enactment, Lee Si-woo National Song Festival, Hip Hop Festival, Youth Stocking Contest, etc
7. Healing experience using plants, craft experience, crop harvesting experience, etc
8. Sales of local specialties, local restaurants operated by farmers' organizations, food truck food sales, etc
9. Exhibition of chrysanthemum bonsai and foliage works, traditional wrestling competitions, etc",2025.10.25,2025.11.09,Gyeongnam,Geoje Agricultural Development Area,34.857547,128.578556,free,Geoje City Hall,055-639-6443,https://www.geoje.go.kr/flower/index.geoje,527,"Food,Culture,Music/Show,Nature,All Ages,Heritage,Specialty,Youth,Join"
2025 Yangsan Woongsang Night Festival,"While strengthening the historical significance of the Ungsang area and promoting East-West cultural harmony and local pride through the ""Ungsang Sinpung Water Festa"" with differentiated contents reflecting the characteristics of the region, the meaning of the restoration of the Joseon News Agency, the core of the Hoeyagang Renaissance, is reproduced as a citizen's chwita parade, and residents of four dongs join in the formation of the procession to expand civic Join.
[Contents of the event]
1. an official event
- an ancient ritual of Ubul Shrine
- Opening ceremony (opening performance/celebration performance)

2. citizen Join program
- a parade of Korean news agencies
- Shinpung Water Festa
- Water Gun Festival
- Youth Gugak Hanmadang
- Bubble show, balloon art show
- a civic club performance
- Experience and exhibition booths",2025.05.24,2025.05.26,Gyeongnam,Woongsang Sports Park,35.377049,129.14219,free,Yangsan City Hall,055-392-6182,https://yangsanfes.com/sub/woongsang/outline.asp,550,"Culture,Music/Show,Nature,All Ages,Heritage,Specialty,Youth,Join"
2025 Yangsan Sapryang Cultural Festival,"""Sapryang"" is the old name of Yangsan, which has been called for 340 years from the 2nd year of King Nulji of Silla (418 AD) to the 16th year of King Gyeongdeok (757 AD), and the ""Yangsan Sapryang Culture Festival"" is a comprehensive cultural and artistic festival that seeks to inherit history and tradition and link them to future values based on this culture of the Sapryang period. The Yangsan Sapryang Culture Festival is a representative festival of Yangsan that has been held for more than 30 years since 1986 under the name ""Sapryang Culture Festival"", and it is filled with a variety of interesting contents, including traditional events such as the demonstration of the Gaya Jinyong Shinje, an intangible cultural property in Gyeongsangnam-do, and the installation of the water bridge, as well as Join programs such as the Samjangsu weather dance performance, civic club Hanmadang, and other facilities where families and lovers can enjoy leisure and romance such as children's zones, riverside rest areas, and night scenery lighting.
[Contents of the event]
1. Main program: Day 1 Pre-dinner Parade (Gaya Jin Yong Shinje), Opening Fireworks Show and Celebration Performance/ Day 2 Samjangsu Weather Dance Competition/ Day 3 Citizen Song Festival, Closing Celebration Performance
2. Additional programs: Gukgye Bridge (Susang Bridge), Sapryang Whale Island (Samgakju), Citizens' Club Hanmadang, Pungmul Competition, Samjangsu Body Fitness Competition, Ssireum Competition
3. Consumer Join Programs: Operation of various exhibition and experience booths, kids' zones (air bounces), riverside shelters, nightscape lighting, etc
4. Other details: Food village, food truck zone, Sapryang branch bread, etc",2025.09.26,2025.09.28,Gyeongnam,Yangsancheon Riverside and Yangsan Sports Complex Area,35.366635,128.917949,free,Yangsan City Hall,055-392-2543,https://yangsanfes.com/,900,"Family,Food,Culture,Music/Show,Nature,All Ages,Heritage,Join"
50th Uiryeong General Hongui Festival,"The righteous army is a symbol of love for the country, in which the people organized their own troops to overcome the national crisis with the will of saving the country when the country was in trouble due to the invasion of foreign powers, and the Hongui General Festival is the nation's first volunteer army festival held around April 22, the day of the creation of the righteous army, to commemorate General Kwak Jae-woo, the 17th general, and many other righteous army soldiers who became the first righteous army in the country during the Imjin War in 1592.
[Contents of the event]
1. Main program: Opening ceremony, volunteer army parade and torch march, volunteer army play zone & squid game, operation of volunteer army theme hall nationwide
2. Additional programs: General Uiryeong Hong Ui-gun National Water Fishing Competition, 9th Lee Ho-seop Song Festival, Uiryeong Saturday Watermelon Festival, and County Residents' Hanmaum Trot Festival
3. Consumer Join Program: Festival Street Parade, Army Playground, Hongui Yeopjeon Tour
4. Other information: Street busking, Insect Ecology Learning Center Special Exhibition, National Fighting Championship",2025.04.17,2025.04.20,Gyeongnam,"Seodong Living Park Area, Uiryeong-eup",35.316618,128.255047,free,Uiryeong County Office,055-570-2502,http://www.xn--6e0bn8r18lba99azxo02acrr.kr/kr/index.html#1,1030,"Spring,Music/Show,Nature,All Ages,Heritage,Join"
37th Aragaya Cultural Festival,"The Haman Aragaya Cultural Festival will discover more diverse historical and cultural contents, re-examine the history and culture of Aragaya, hold a rich festival, and hold a festival venue with various theme performances and celebratory performances. There are a history experience course where you can experience Aragaya firsthand, a horse-riding experience and a procession experience, a historical dance play that unravels Aragaya's unique story, and a performance by Aragaya Fantasia.
[Contents of the event]
1. Main program
1)a pre-ceremony event
(1) Aragaya the Emperor of Heaven
- Date and time: 24.10.11 17:00
- Venue: Hogan County No. 4 Hogan County, Malisan County
(2) King Ara's Procession
- Date and time: 24.10.11 18:00
- Venue: Ara Elementary School > Museum
(3) a pre-ceremony performance
- Date and time: 24.10.11 18:30
- Place: Haman Museum
2) opening ceremony
(1) opening performance
- Date and time: 24.10.11 19:00
- Place: Haman Museum
(2) theme performance
- Date and time: 24.10.11 19:40
- Place: Haman Museum
Title: Ara's Legacy A shining future
(3) a laser show
- Date and time: 24.10.11 20:10
- Place: Haman Museum
(4) a special performance
Date and time: 24.10.11 20:20
Place: Haman Museum

2. a museum program
1)Aragaya Musical Gala Show
- Date and time: 18:30 on Saturday, October 12, 2024~
- Venue: Museum special stage
- Performances: Hong Ji-min, Lee Ji-hoon, Kim Jae-bin, Son Jung-soo
- MC: Arihyun
2)Aragaya Fantasia (Closing Performance)
- Date and time: 2024.10.13. (Sun) 16:00~
- Venue: Museum special stage
- Performances: Gyeongnam Provincial Art Troupe Showquire, Kang Yu-jin, Arihyun, Oh Eun-young, This is It (B-boy)
- MC: Arihyun
3)Fringe Performance (Balloon, Magic, Bubble)
- Period: 2024.10.12. (Sat) 13:00 (1st) 15:00 (2nd) / 2024.10.13. (Sun) 13:00 (1st) 15:00 (2nd)
- Venue: Museum special stage
4)Aragaya Traditional Playground
- Period: 2024.10.12. (Sat) 14:00-15:00 / 2024.10.13. (Sun) 14:00-15:00
- Venue: Museum Square
5)Museum healing concert
- Period: 2024.10.12. (Sat) 16:00-17:30
- Venue: Museum special stage
6)The King's Procession
- Period: 10:00 to 18:00 on Saturday, October 12, 2024 / 10:00 to 18:00 on Sunday, October 13, 2024
- Venue: Museum parking lot 1
7) Historical Exploration of Aragaya
- Period: 10:00,14:00 on Saturday,October 12, 2024 / October 13, 2024 (Sun) 10:00,14:00
- Venue: Museum parking lot 1
8) Making Experience
- Period: 2024.10.11. ~10.13. (3 days)
- Location: Next to the second parking lot of the museum

3. Aragaya Experience Center Program
1) Aragaya History Experience Course
- Period: 2024.10.11. ~10.13. (3 days)
- Venue: Aragaya Experience Center
2)Aragaya Mounted Musa Experience
- Period: 2024.10.11. ~10.13. (3 days)
- Venue: Aragaya Experience Center
3)Blacksmith Ironing Experience
- Period: 2024.10.11. ~10.13. (3 days)
- Venue: Aragaya Experience Center
4)Pony feeding experience

4. Malisan Ancient Tombs Program
1) ""Aragaya"" Walks Through the Night (Landscape Lighting)
- Period: 2024.10.7~10.13 (7 days)
- Venue: Tomb No. 1-10 and No. 45
2) The 4th Malisan Star Festival
- Period: 2024.10.12. (Saturday) 15:00-21:00
- Venue: Ancient Tombs Area No. 7
3)Ancient Tombs Trekking, Ancient Tombs Story
- Period: 2024.10.12. (Sat) twice a week/night / once a week on 2024.10.13 (Sun)
- Location: Ancient Tombs Entrance Grass Plaza (departure) No. 1 to No. 10 and No. 45
4) Aragaya Cultural Experience (Costume, Crown)
- Period: 2024.10.12.~10.13. (2 days)
- Location: Tomb No. 4
5) Malisan Healing Concert - Date and time: 2024.10.12.~10.13 (2 days)
- Location: Tomb No. 4
6) Horse-burning performance
- Date and time: February 2024.10.12.~10.13
- Location: Tomb No. 4
7) Malisan Healing Cafe
- Date and time: 2024.10.12.~10.13. (2 days)
- Location: Tomb No. 4
8) World Intangible Heritage Festival
- Date and time : 2024.10.12.(Sat) 15:00 / 2024.10.13.(Sun) 15:00
- Location: Tomb No. 4
9) walk through the night of Aragaya
- Period: 2024.10.11. (Fri) 21:00-22:00 / 2024.10.12. (Sat) 20:00-21:00 / 2024.10.13. (Sun) 17:00-18:00
- Location: Tomb No. 10

5. Publicity, exhibition food, and related events
- Period: 2024.10.11. ~10.13.(3 days)
- Place: Hamju Park
1)Letter from Haman-gun Scenic Delivery Service (photo exhibition)
2)a roundabout of national treasures
3)Promoting the Hometown Love Donation System
4)Promoting reducing the use of disposable products
5)Demonstration and training of CPR in Women's Civil Defense Task Force
6)Publicity for the win-win development of small business owners
7)Exhibition of Outstanding Housing and Architecture Award-winning works in Gyeongsangnam-do
8)Infectious diseases are far away
Stay close to your health
9)Han Areum Health Field
10)Aragaya Playground
11)Ashi and Chalbori bread
12)Aragaya Youth Ply Market
13)Eating food
14)Taste of Haman~Aragaya Local Food National Cooking Contest
15)Haman-gun Livestock Industry Association Hanmaum Competition and Haman-gun Livestock Products Discount Competition",2025.09.10,2025.09.12,Gyeongnam,Haman Museum Area,35.269382,128.403689,free,Haman County Office,055-580-2303,https://www.haman.go.kr/00956/00958.web?gcode=32&idx=17202070&amode=view&not_ancmt_mgt_no=17202303&cpage=18&gubun=present,550,"Food,Culture,Adult,Music/Show,Nature,All Ages,Heritage,Join"
20th Changnyeong Nakdong River Canola Festival,"The Nakdonggang River rapeseed complex in Namji-eup, Changnyeong-gun, is 110ha (330,000 pyeong), the largest single area in the country, and is a landscape with the superb view of the Nakdonggang River. Under the theme of meeting nature and people, it is a festival that informs the nation of the beauty of the Nakdonggang River's rapeseed complex filled with butterflies and bees like flowers and is enjoyed by tourists and local residents, and has established itself as a representative festival of Changnyeong-gun, the home of history and ecology, starting with the first event in 2006. In addition, various local cultural performances, opening performance events, canola flower radiantering, Black Eagles air show, exhibition events, experience events, and promotional events provide tourists and local residents with a variety of things to see and enjoy.
[Contents of the event]
1. Main program: Changnyeong Farmers' Amae Contest, Opening Performance, Black Eagles Air Show, Canola Flower Radiantering, Canola Youth Song Festival, Dongchun Circus Performance, Closing Performance, etc
2. Additional programs: Yeongsan Soe headstand demonstration, Changnyeong Namji Gabiri Walking Contest, Youth Busking, Art Competition, etc
3. Consumer Join Program: Photo Zone Stamp Tour, Children's Playground, Experience Booth, Craft Experience, Free Photo Printing, etc",2025.04.10,2025.04.13,Gyeongnam,Namji Sports Park Area,35.385119,128.472192,free,Changnyeong County Office,055-530-1523,https://festa.gyeongnam.go.kr/cnndflower/index.do?siteCd=027,631,"Family,Food,Culture,Spring,Adult,Children,Music/Show,Nature,Heritage,Specialty,Youth"
35th Geochang International Theatre Festival,"The 35th Geochang International Festival of Theater is an international outdoor theater festival held from July 25 (Fri) to August 3, 2025 (Sun) in Suseungdae, Geochang-gun, Gyeongsangnam-do, and is a representative performing arts festival in Korea that began in 1989. High-quality performances and various side events by domestic and foreign organizations are held at the outdoor theater in nature (based on period and place): contentReference [oaicite:0]{index=0}.

[Contents of the event]
1. a representative program
1) opening ceremony and opening performance  
2) Official domestic and international invitation performances (57 organizations from about 7 countries): contentReference[oaicite:1]{index=1}  
3) a contest performance  
4) Fringe Performance ??Magic, Performance, College, Youth Theater, etc. Street Stage: contentReference[oaicite:2]{index=2}  
5) Closing ceremony, musical gala concert, celebratory performance  

2. Experience and incidental events
1) Outdoor concert hall tour and docent commentary  
2) Academic events such as seminars, symposiums, workshops, etc  
3) art-related exhibitions, markets, and experience events  
4) Resource Activist 'KIFTIAN' Operation: contentReference[oaicite:3]{index=3}  

3. a cultural performance program
1) Performances of various genres ranging from traditional performances to modern dramas, mime, and dance  
2) Busking, cafe concerts, and other events  
3) Open participatory performances such as flash performances and conversations with audiences: contentReference[oaicite:4]{index=4}",2025.07.25,2025.08.03,Gyeongnam,"Suseungdae Area, Geochang",35.760899,127.832123,free,Geochang Cultural Foundation,055-940-8455,https://www.kift.or.kr/,1400,"Food,Culture,Adult,Summer,Music/Show,Nature,All Ages,Heritage,Join"
2025 Geochang Hanmadang Festival,"Starting with the County Residents' Day celebration, it is an event that everyone can enjoy together, including the County Residents' Sports Festival, Arim Arts Festival, Lifelong Learning Festival, Agricultural Products Festival, Bicycle Tour, Hyangwoo Association Hanmaum Grand Festival, and Geochang-gun Family Multicultural Festival. In addition, street parade, Kidsland Festival, food truck, grand night market, and water multimedia show are prepared.
[Contents of the event]
1. Main program
- Military Day Ceremony, Military Sports Festival, Arim Arts Festival, Lifelong Learning Festival, Agricultural Products Festival, Bicycle Tour Changpowon Picnic, Hyangwoo Federation Hanmaum Sports Festival, etc

2. supplementary program
- Street parade, Kids Land, Food Truck Festival, Youth Zone, Grand Night Market, Water Multimedia Show, Military Survival

3. a consumer engagement program
- Kids Land, Youth Zone, Military Survival, etc

4. food
- Food truck festival, local food hall, local food hall, youth zone, etc",2025.09.25,2025.09.28,Gyeongnam,Geochang Sports Park and Geochang Area,35.692355,127.928018,free,Geochang Cultural Foundation,055-940-8458,https://xn--v69az7jn8fi3p60eb8beyw.kr/,952,"Family,Food,Culture,Adult,Music/Show,Nature,All Ages,Specialty,Join"
Pohang International Fireworks Festival,"In Pohang, a representative cultural tourism festival, the Pohang International Fire and Light Festival, is held every year. The Pohang International Fire and Light Festival began with the theme of ""Light"" symbolizing Pohang, a world-class steel city, and ""Fire"" symbolizing a hot furnace. Since then, it has expanded into an international festival event and famous overseas fire teams are participating every year. The festival content is also a festival of harmony that combines industrial and cultural elements such as production performances and light parades, breaking away from the simple ""firework.""
[Contents of the event]
1. Main program: International Fireworks Show (Korea, Canada, Italy), Drone Light Show, Light Art Way, Street Parade, Daily Fireworks Show
2. Supplementary programs: Light Music Festa, Fringe Performance, Light Carnival Market, Light Theme Zone, Fire Flavor Gourmet Road, Fuang Restaurant, Agricultural Specialty Sales Zone",2025.05.30,2025.06.01,Gyeongbuk,Hyeongsan River Sports Park Area,36.014696,129.373521,free,Pohang City Hall,054-270-2243,https://festival.phcf.or.kr/fireWorks/intro.do,1772,"Food,Culture,Music/Show,Nature,Specialty"
